Area_sqft,Bedrooms,Age_years,Price
1360,1,71,223918
4272,1,22,714771
3592,3,46,624672
966,5,89,223369
4926,4,45,829796
3944,6,11,766528
3671,1,89,583798
3419,4,12,669607
630,1,61,91698
2185,1,81,325044
1269,1,88,170099
2891,6,96,549326
2933,5,59,566820
1684,6,42,432272
3885,2,75,590739
4617,4,99,745645
3404,5,67,583629
974,5,4,291953
1582,5,36,393982
3058,5,71,543686
2547,6,91,474232
3247,5,30,631884
1475,3,8,352145
2306,4,50,424683
689,5,28,180734
3234,4,77,540696
3505,3,39,635863
2399,3,40,451713
1767,4,85,356527
2028,1,10,346564
3702,2,22,600512
4056,1,0,692651
4390,1,45,693300
1146,6,100,278011
3388,1,20,581860
2935,5,89,534684
1100,6,35,338112
2863,6,53,590750
2561,3,86,433198
741,1,56,147299
2541,3,0,526320
3324,4,62,617234
3112,2,53,500816
1863,6,54,435061
1978,4,39,400294
3056,4,14,577729
1275,5,20,332459
4514,2,46,740999
534,4,72,166465
3652,4,52,653808
2455,2,8,455736
2085,2,73,339818
4443,4,51,781805
3573,2,56,550162
1521,4,25,353643
3961,4,40,705949
3113,5,34,623016
4343,1,62,637445
2000,4,24,455903
661,3,89,139423
4797,6,74,850882
2481,1,37,402122
1495,1,1,309010
3842,1,6,646259
4298,5,81,762880
1775,4,90,297420
1516,5,33,372911
837,4,90,193720
1378,5,16,361973
1576,5,42,361307
4493,6,58,808691
879,3,50,210343
992,5,53,234601
2562,6,23,580600
4384,2,24,723997
564,3,70,142156
3068,5,51,591542
2527,1,69,374534
3195,2,87,489629
1995,2,32,326545
891,6,48,300292
4974,2,28,839701
4061,3,62,638130
2778,5,21,562570
3599,5,25,665253
700,1,27,149445
3604,6,84,669573
2954,1,48,489846
4145,2,70,674187
1304,1,80,216811
3231,3,83,522202
3273,5,48,595011
2070,2,19,389208
3190,1,85,481165
4340,6,91,735455
1528,3,62,325403
1002,3,60,233258
4993,1,48,771819
1370,5,70,296283
4988,1,0,809818
706,2,95,112384
1984,1,12,356012
1363,3,93,255460
3290,1,86,475640
1063,5,50,294560
4691,6,55,848072
2257,4,82,411943
2178,1,61,336099
3742,5,31,719454
1559,5,29,394301
2222,6,28,514499
3814,3,48,661250
3657,5,44,660663
3125,5,92,558215
3229,5,29,655334
2097,5,15,484378
3560,2,39,574386
3193,2,18,559955
4127,3,17,734550
1863,1,0,339302
2481,5,77,442985
